Attribute,CV terms,Definition
,"Prevotella corporis,NCBI:txid28128",NCBI Taxonomy term and id
,"Bifidobacterium bifidum,NCBI:txid1681",NCBI Taxonomy term and id
,"Enterococcus faecalis,NCBI:txid1351",NCBI Taxonomy term and id
,"Streptococcus anginosus,NCBI:txid1328",NCBI Taxonomy term and id
,"Prevotella bivia,NCBI:txid28125",NCBI Taxonomy term and id
,"Lactobacillus vaginalis,NCBI:txid1633",NCBI Taxonomy term and id
,"Prevotella disiens,NCBI:txid28130",NCBI Taxonomy term and id
,"Bifidobacterium bifidum,NCBI:txid1681",NCBI Taxonomy term and id
,"Varibaculum,NCBI:txid184869",NCBI Taxonomy term and id
,"Propionimicrobium lymphophilum,NCBI:txid33012",NCBI Taxonomy term and id
,"Porphyromonas,NCBI:txid836",NCBI Taxonomy term and id
,"Lactobacillus reuteri,NCBI:txid1598",NCBI Taxonomy term and id
,"Lactobacillus coleohominis,NCBI:txid181675",NCBI Taxonomy term and id
,"Actinotignum,NCBI:txid1653174",NCBI Taxonomy term and id
,"Varibaculum cambriense,NCBI:txid184870",NCBI Taxonomy term and id
,"Staphylococcus epidermidis,NCBI:txid1282",NCBI Taxonomy term and id
,"Cutibacterium avidum,NCBI:txid33010",NCBI Taxonomy term and id
,"Prevotella corporis,NCBI:txid28128",NCBI Taxonomy term and id
,"Lactobacillus fermentum,NCBI:txid1613",NCBI Taxonomy term and id
,"Fenollaria massiliensis,NCBI:txid938288",NCBI Taxonomy term and id
,"Fenollaria,NCBI:txid1686313",NCBI Taxonomy term and id
,"Aerococcus christensenii,NCBI:txid87541",NCBI Taxonomy term and id
,"Actinomyces neuii,NCBI:txid33007",NCBI Taxonomy term and id
,"Actinomyces,NCBI:txid1654",NCBI Taxonomy term and id
,"Lactobacillus iners,NCBI:txid147802",NCBI Taxonomy term and id
,"Finegoldia magna,NCBI:txid1260",NCBI Taxonomy term and id
,"Prevotella bergensis,NCBI:txid242750",NCBI Taxonomy term and id
,"Porphyromonas somerae,NCBI:txid322095",NCBI Taxonomy term and id
,"Peptoniphilus duerdenii,NCBI:txid507750",NCBI Taxonomy term and id
,"Pediococcus acidilactici,NCBI:txid1254",NCBI Taxonomy term and id
,"Cutibacterium acnes,NCBI:txid1747",NCBI Taxonomy term and id
,"Atopobium deltae,NCBI:txid1393034",NCBI Taxonomy term and id
,"Actinomyces radingae,NCBI:txid131110",NCBI Taxonomy term and id
,"Prevotella timonensis,NCBI:txid386414",NCBI Taxonomy term and id
,"Prevotella sp16,NCBI:txid59823",NCBI Taxonomy term and id
,"Peptoniphilus harei,NCBI:txid54005",NCBI Taxonomy term and id
,"Olegusella massiliensis,NCBI:txid1776381",NCBI Taxonomy term and id
,"Facklamia hominis,NCBI:txid178214",NCBI Taxonomy term and id
,"Corynebacterium pyruviciproducens,NCBI:txid598660",NCBI Taxonomy term and id
,"Clostridium ventriculi,NCBI:txid1267",NCBI Taxonomy term and id
,"Anaerococcus rubeinfantis,NCBI:txid1720199",NCBI Taxonomy term and id
,"Anaerococcus,NCBI:txid165779",NCBI Taxonomy term and id
,"Actinomyces turicensis,NCBI:txid131111",NCBI Taxonomy term and id
,"Prevotella amnii,NCBI:txid419005",NCBI Taxonomy term and id
,"Fenollaria massiliensis,NCBI:txid938288",NCBI Taxonomy term and id
,"Ezakiella coagulans,NCBI:txid46507",NCBI Taxonomy term and id
,"Atopobium vaginae,NCBI:txid82135",NCBI Taxonomy term and id
,"mouse vaginal metagenome,NCBI:txid1549736","vaginal metagenome (NCBI does not have mouse-specific term, we have requested one)"
,,
samp_type,UBERON,https://www.ebi.ac.uk/ols4/ontologies/uberon/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FUBERON_0000463
,"cervical mucus,UBERON:0000316",A substance produced by the cervix and endocervical glands[BTO]. Thick acidic mucus that blocks the cervical os after mestruation[WP]. This 'infertile' mucus blocks spermatozoa from entering the uterus.
,Cervicovaginal mucus,"A complex fluid produced by the cervix and vagina, acting as a barrier against pathogens and playing a crucial role in reproductive health, including fertility and pregnancy"
,"vaginal fluid,UBERON:0036243",Fluid that lines the vaginal walls that consists of multiple secretions that collect in the vagina from different glands.
,"blood,UBERON:0000178",A fluid that is composed of blood plasma and erythrocytes.
,"feces,UBERON:0001988",Portion of semisolid bodily waste discharged through the anus
,"saliva,UBERON:0001836","A fluid produced in the oral cavity by salivary glands, typically used in predigestion, but also in other functions."
,"urine,UBERON:0001088",Excretion that is the output of a kidney.
,"milk,UBERON:0001913",An emulsion of fat globules within a fluid that is secreted by the mammary gland during lactation.
,"tissue,UBERON:0000479","Multicellular anatomical structure that consists of many cells of one or a few types, arranged in an extracellular matrix such that their long-range organisation is at least partly a repetition of their short-range organisation."
,isolate culture,A material entity that represents a pure microbial population obtained through a culturing process from a biological or environmental specimen.
,,
,,
cell_line,,Name of specific cell line used in your study. Pick a term from the Controlled Vocabulary. Please contact us if you cannot find your term in this list.
,primary cell lines,Derived directly from tissues
,immortalized cell lines,"Genetically modified or naturally mutated to grow indefinitely (e.g., HeLa, HEK293)."
,stem cell lines,Pluripotent or multipotent cells used in regenerative medicine.
,primary vaginal epithelial cells (PVECs),Directly isolated from vaginal biopsies or swabs
,VK2/E6E7 (Vaginal Keratinocyte Cell Line),Immortalized vaginal keratinocyte cell line
,End1/E6E7 (Endocervical Epithelial Cell Line),Immortalized endocervical epithelial cell line
,Ect1/E6E7 (Ectocervical Epithelial Cell Line) ,Immortalized ectocervical epithelial cell line
,CaSki & HeLa (Cervical Cancer Cell Lines),cell lines primarily used in cervical cancer research
,,
,,
cell_type,Cell Ontology (CL),https://www.ebi.ac.uk/ols4/ontologies/cl
,"vagina squamous cell,CL:1001578",Squamous cell of vaginal epithelium
,"epithelial cell of uterus,CL:0002149",An epithelial cell of the uterus. This cell has a mesodermal origin.
,"endometrial multiciliated epithelial cell,CL:4030040 ","A multi-ciliated cell of the endometrial epithelium. This cell is characterized by the presence of 9+2 motile cilia on its apical surface, which facilitates the movement of mucus across the endometrial surface."
,"epithelial cell of cervix,CL:0002535",An epithelial cell of the cervix.
,"columnar cell of endocervix,CL:0002152",A simple columnar epithelial cell located in the endocervix
,"uterine cervix secretory cell,CL:1001587
",Glandular cell of uterine cervix epithelium.
,"squamous cell of ectocervix,CL:0002244",A stratified squamous epithelial cell located in the ectocervix.
,"columnar cell of endocervix,CL:0002152",A simple columnar epithelial cell located in the endocervix.
,"uterine cervix squamous cell,CL:1001575",Squamous cell of uterine cervix epithelium.
,,
,,
samp_collect_device,,The instrument or tool used to obtain a biological or environmental sample from its source.
,swab,A small piece of absorbent material used to collect samples from the body
,brush,"A specialized medical tool, often with bristles or a flexible head, used to collect cells or tissue samples from various body areas for diagnostic or research purposes"
,pipette,"A laboratory instrument used to transfer and collect liquid samples with precision, often employed for biological fluids such as blood, urine, or vaginal secretions."
,cytobrush,"A specialized small brush used primarily for cervical cytology, designed to collect cells from the cervix for Pap smears and other diagnostic tests."
,softcup," A flexible, cup-shaped device used to collect vaginal or menstrual fluid samples non-invasively for research, diagnostics, or reproductive health monitoring."
,forceps,"A tweezer-like instrument used to grasp, manipulate, or remove tissue samples, foreign objects, or medical devices during sample collection or surgical procedures."
,pipelle catheter,"A thin, flexible tube used to collect endometrial tissue samples through suction, commonly utilized in uterine biopsy procedures."
,curette,"A spoon-shaped surgical instrument used for scraping or removing tissue, often used in procedures such as endometrial or cervical biopsies."
,thin needle,"A fine, hollow needle used for minimally invasive sampling, to collect cells or fluid from tissues for diagnostic analysis."
,biopsy punch tool,"A circular blade instrument used to remove small, cylindrical tissue samples for histopathological examination, commonly used for skin, cervical, or vaginal biopsies."
,,
,,
samp_collect_method,Ontology for BioMedical Investigations (OBI),https://www.ebi.ac.uk/ols4/ontologies/obi/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FOBI_0000659?lang=en
,"collecting specimen with swab,OBI:0002600","A specimen collection process that uses a swab as the collection device. A swab is an absorbent material (e.g. cotton) on a rod (e.g., wooden stick)."
,"biopsy,OBI:0002650",A specimen collection that obtains a sample of tissue or cell from a living multicellular organism body for diagnostic purposes by means intended to be minimally invasive.
,"skinpunch biopsy,OBI:0002663","A biopsy that involves the collection of a cylinder of skin (including epidermis, dermis and superficial fat) using a punch tool."
,"needle biopsy,OBI:0002654",A biopsy that uses a hollow needle to extract cells.
,"surgical biopsy,OBI:0002657",A biopsy involving a surgical incision into an organism to access the biopsy material.
,cervicovaginal lavage,"A procedure where a liquid is instilled into the vaginal and ectocervical mucosal surfaces, then reaspirated from the posterior fornix, to collect a sample for analysis, offering a more comprehensive assessment than swabs. 
"
,,
,,
samp_storage_medium,,The substance or condition in which a collected sample is stored before analysis. Pick a term from the Controlled Vocabulary.
,dry brush,A sample storage method where collected sample remains on a dry brush.
,dry swab,"A swab-based sample storage method without liquid preservatives, used for short-term storage or transport before processing."
,nuclei acid stabilizing solution,"A chemical medium designed to preserve DNA or RNA integrity by preventing degradation, commonly used for genetic and molecular analyses."
,sterile transport medium,"A sterile liquid or gel medium that maintains sample viability during transport, used for various biological specimens."
,Amies transport medium,"A buffered semi-solid medium that preserves microbial viability, commonly used for bacterial culture transport."
,Liquid-Based Cytology (LBC) Medium,"A liquid preservative used for collecting and storing cells for cytological examination, such as Pap tests or other diagnostic screenings."
,liquid nitrogen,"An ultra-low-temperature storage medium (-196°C) used for freezing and preserving biological samples, including cells, tissues, and genetic material, for long-term storage."
,,
,,
omics_technique,Ontology for BioMedical Investigations (OBI),"The specific method or technology used to generate omics data. Provide OBI ontology term and ID, if available. 

https://www.ebi.ac.uk/ols4/ontologies/obi/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FOBI_0000070?lang=en"
,"amplicon sequencing assay,OBI:0002767",A sequencing assay in which a DNA or RNA input molecule is amplified by PCR and the product sequenced.
,"16s ribosomal gene sequencing assay,OBI:0002763",An amplicon sequencing assay in which the amplicon is derived from universal primers used to amplify the 16S ribosomal RNA gene from isolate bacterial genomic DNA or metagenomic DNA from a microbioal community. Resulting sequences are compared to reference 16S sequence databases to identify or classify bacteria present within a given sample.
,"whole metagenome sequencing assay,OBI:0002623",A DNA sequencing assay that intends to provide information on the DNA sequences of multiple genomes (a metagenome) from different organisms present in the same input sample.
,"whole genome sequencing assay,OBI:0002117",A DNA sequencing assay that intends to provide information about the sequence of an entire genome of an organism.
,"metatranscriptome sequencing assay,OBI:0002760",An RNA-seq assay that determines the RNA sequence of microbial transcripts from a microbioal community of mixed species from a given microbiome.
,"metabolite profiling assay,OBI:0000366",An assay that detects and identifies chemical entities resulting from biochemical and cellular metabolism
,"microbiome protein expression profiling assay,OBI:0002765",A protein expression profiling assay of microbial proteins extracted from a microbioal community of mixed species from a given microbiome.
,"cytometry assay,OBI:0001977",An assay that counts and/or measures characteristics of cells.
,"ChIP-seq assay,OBI:0000716",An assay in which chromatin is immunoprecipitated and subsequently analyzed using a DNA sequencing step to identify which parts of DNA are part of the isolated chromatin
,"slide-seq assay,OBI:0003107","An RNA-seq assay that involves transfer of RNA from tissue sections onto a surface covered in DNA-barcoded beads with known positions, allowing the locations of the RNA to be inferred by sequencing."
,"single-cell RNA sequencing assay,OBI:0002631",An RNA sequencing assay that uses RNA extracts as input that can be traced to a single cell of origin.
,"single-cell combinatorial indexing RNA sequencing assay,OBI:0003105",A single-cell RNA sequencing assay that involves single cell combinatorial indexing ('sci-') strategy to profile the transcriptomes of single cells or nuclei without single cell isolation.
,"single-cell ATAC-seq,OBI:0002764","An ATAC assay designed to robustly map the accessible genome of individual cells, using sequencing integrated into a programmable microfluidics platform, in order to provide insights into cell-to-cell variation in accessibility profiles."
,scChIP-seq,A single-cell chromatin immunoprecipitation followed by sequencing assay that profiles protein-DNA interactions—such as histone modifications or transcription factor binding—at single-cell resolution. It enables the study of epigenetic heterogeneity across individual cells.
,"transcription profiling assay,OBI:0000424",An assay that determines gene expression and transcription activity using ribonucleic acids collected from a material entity.
,10x 3' transcription profiling,A single-cell RNA sequencing assay utilizing 10x Genomics 3' gene expression technology to profile transcript abundance by capturing the 3' end of polyadenylated mRNA from individual cells.
,10x 5' transcription profiling,A single-cell RNA sequencing assay utilizing 10x Genomics 5' gene expression technology to profile transcript abundance by capturing the 5' end of polyadenylated mRNA from individual cells.
,10x immune profiling,"A single-cell trancription and immune repertoire profiling assay utilizing 10X Genomics Technology to simultaneously analyze gene expression and T-cell or B-cell receptor sequences, enabling detailed characterization of immune cell identity and clonality."
,10X Genomics Multiome,A single-cell multi-omics assay using 10x Genomics Technology to simultaneously profile gene expression (scRNA-seq) and chromatin accessibility (scATAC-seq) from the same cell using microfluidic droplet-based technology.
