Keyword	Description
GAGE_BRTH	Harmonized value for gestational age at birth 
gestational_age	Gestational age at delivery, presented in ‘week.day’ format. For instance, 12.0 would indicate the 12th week and 0 days, while 11.6 would signify 11 weeks and 6 days (where 0 represents the first day of the week).
del_date	Date of delivery
del_mode	Mode of delivery
del_time	Time of delivery
delivery_place	Place of delivery
delivery_condby	If delivery was conducted by a trained or untrained birth attendant
labour_24	If more than 24 hours transpired between onset of labour pains and delivery
rom_24	If more than 24 hours transpired between membrane rupture and delivery
liquor_clear	If liquor was clear
single_twin	Number of babies in this pregnancy at the time of delivery
birth_outcome	Outcome of delivery
mat_death	If the participant died during pregnancy or within 42 days of delivery
mat_death_date	Date of death of the participant
pph	If the participant had postpartum hemorrhage
contact_PI	Name of study PI to contact for questions related to study/dataset
contributors	Names of individuals contributing to the processes of sample collection,sequence generation, analysis, and data submission
